"year","scenario","technology","Glass_mean","Glass_min","Glass_max","Terbium_mean","Terbium_min","Terbium_max","Tin_mean","Tin_min","Tin_max","Vanadium_mean","Vanadium_min","Vanadium_max","Yttrium_mean","Yttrium_min","Yttrium_max","Zinc_mean","Zinc_min","Zinc_max","Aluminum_mean","Aluminum_min","Aluminum_max","Boron_mean","Boron_min","Boron_max","Cadmium_mean","Cadmium_min","Cadmium_max","Cement_mean","Cement_min","Cement_max","Chromium_mean","Chromium_min","Chromium_max","Copper_mean","Copper_min","Copper_max","Dysprosium_mean","Dysprosium_min","Dysprosium_max","Fiberglass_mean","Fiberglass_min","Fiberglass_max","Gallium_mean","Gallium_min","Gallium_max","Germanium_mean","Germanium_min","Germanium_max","Manganese_mean","Manganese_min","Manganese_max","Molybdenum_mean","Molybdenum_min","Molybdenum_max","Neodymium_mean","Neodymium_min","Neodymium_max","Nickel_mean","Nickel_min","Nickel_max","Niobium_mean","Niobium_min","Niobium_max","Praseodymium_mean","Praseodymium_min","Praseodymium_max","Selenium_mean","Selenium_min","Selenium_max","Silicon_mean","Silicon_min","Silicon_max","Silver_mean","Silver_min","Silver_max","Steel_mean","Steel_min","Steel_max","Tellurium_mean","Tellurium_min","Tellurium_max","Indium_mean","Indium_min","Indium_max","Lead_mean","Lead_min","Lead_max","Magnesium_mean","Magnesium_min","Magnesium_max","model"
2035,"IRA","Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"IRA","Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.65041598649357e-08,1.55154313937644e-08,1.7492888336107e-08,0,0,0,0,0,0,1.23336271174991e-06,6.13544044379891e-07,1.81994489128132e-06,0,0,0,4.47779913386216e-08,4.14505397529491e-08,4.90561433773434e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.10281252553718e-08,8.51827605932165e-09,1.51351512125447e-08,0,0,0,0,0,0,7.35208350358119e-10,6.08448289951546e-10,8.36616398683376e-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.78031201802245e-06,3.61083637671745e-06,5.94978765932744e-06,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"IRA","Nuclear New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"IRA","onshore wind",0,0,0,0.224590037613796,0.00934170000473328,0.934170000473328,0,0,0,2.80873780142314,2.80251000141998,2.8149656014263,0.0381452750193276,0.0140125500070999,0.0622780000315552,171.264500086777,171.264500086777,171.264500086777,62.4361533737406,1.55695000078888,411.034800208264,0.0830373333754069,0.0311390000157776,0.186834000094666,0,0,0,1684.42787702014,1205.60866361086,2275.48242615295,16.3943721183067,7.44222100377085,28.0873780142314,108.996487155878,27.7759880140736,477.983650242186,0.418547912126965,0.0280251000141998,1.55695000078888,269.456146803196,230.428600116754,298.311620151149,0,0,0,0,0,0,24.5998100124643,24.2884200123065,24.9112000126221,3.13180492658683,2.34476670118805,3.70554100187753,3.82845909053981,0.193061800097821,9.65309000489106,7.77900126547995,3.45642900175131,13.7011600069421,1.17394030059482,1.17394030059482,1.17394030059482,0.572127226956554,0.0311390000157776,2.33542500118332,0,0,0,0,0,0,0,0,0,3809.50439199271,1681.50600085199,6352.35600321863,0,0,0,0,0,0,209.254080106025,209.254080106025,209.254080106025,0,0,0,"REGEN"
2035,"IRA","utility-scale solar pv",1767.15331008507,1489.20547225476,1952.14200482833,0,0,0,16.0912276683707,16.0912276683707,16.0912276683707,0,0,0,0,0,0,0,0,0,609.716695529472,305.454448269781,1073.67810265558,0,0,0,0,0,0,214.879707202901,135.171889962899,293.155953639363,0,0,0,72.9036305075889,6.97193573152975,209.994704233676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317920269357757,0.027887742926119,0.0362540658039547,0,0,0,0,0,0,0,0,0,129.218786439603,0.111550971704476,250.989686335071,0.937900816273329,0.111550971704476,2.342570405794,1560.31921671636,1558.92482957005,1561.71360386266,0,0,0,0,0,0,2.16060288320107,0.154219218381438,9.37028162317599,1.49199424654737,1.49199424654737,1.49199424654737,"REGEN"
2035,"Ref","Biomass",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.167221791334444,0.167221791334444,0.167221791334444,0,0,0,0,0,0,3.93056166381813,3.08095799240714,4.78016533522911,0,0,0,0.0749705698616714,0.0685752522920602,0.0811695847382304,0,0,0,0,0,0,0,0,0,0,0,0,0.0186516613411495,0.0144068004841983,0.025597797288888,0,0,0,0,0,0,0.00124344408940997,0.00102905717744273,0.00141495361898376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77082391638239,9.77082391638239,9.77082391638239,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"Ref","Coal",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.96050709706169e-08,2.55840230462503e-08,6.26056093367066e-08,0,0,0,0,0,0,2.07646954108517e-06,7.1645297479715e-07,4.37968375701162e-06,0,0,0,5.90689943861955e-08,5.46795786674761e-08,6.47125288816919e-08,0,0,0,0,0,0,0,0,0,0,0,0,1.45477778106129e-08,1.12369042399217e-08,1.99655709262894e-08,0,0,0,0,0,0,9.6985185404086e-10,8.02636017137264e-10,1.10362452356374e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60143964742507e-06,6.18511314805976e-06,9.54795740086061e-06,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"Ref","Hydro",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"Ref","Gas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34617506469925,2.20562079815044,2.48672933124805,0,0,0,0,0,0,120.209037573597,79.4672200891494,169.097596325878,0,0,0,5.30592358351048,4.90858748232273,5.81678428503758,0,0,0,0,0,0,0,0,0,0,0,0,1.56772066535203,1.21092906565122,2.15156146486244,0,0,0,0,0,0,0.104514711023469,0.0864949332608018,0.118930533233602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.151487024885,335.492225958676,552.810748091095,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
2035,"Ref","Nuclear New",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1353252499523e-12,1.0249561199771e-12,3.07486835993131e-12,0,0,0,0,0,0,2.09847744475016e-09,1.11606333064174e-09,3.49737804938854e-09,0,0,0,7.35576842103569e-11,4.13398968390766e-11,1.13884013330789e-10,0,0,0,0,0,0,0,0,0,0,0,0,1.95311082862304e-11,1.19008793930675e-11,2.65919171127393e-11,0,0,0,0,0,0,1.14681201424105e-11,2.79015832660434e-12,2.7559931226051e-11,0,0,0,0,0,0,0,0,0,0,0,0,5.69420066653947e-14,5.69420066653947e-14,5.69420066653947e-14,1.8212141605171e-09,4.21769443370579e-10,2.86987713593589e-09,0,0,0,0,0,0,0,0,0,0,0,0,"REGEN"
