"row_id","year","scenario","Material","Gas","Nuclear New","offshore wind","onshore wind","utility-scale solar pv","total_demand"
39,2025,"IRA","Aluminum",6287.36074829147,0,4403.95958566673,37344.5248753443,613591.888401702,661627.733611005
39,2030,"REF","Aluminum",8.66301924520528,0.164479108836068,9804.42841552977,20184.4191923507,912722.697946336,942720.373052571
39,2030,"IRA","Aluminum",2.07631717905861,0.00323188280426821,27285.960815643,77437.5942747862,1177310.63352647,1282036.26816596
39,2035,"REF","Aluminum",0.914829968378073,0.0272157961521524,26506.1839804656,9618.08886622847,582337.860418891,618463.07531135
39,2035,"IRA","Aluminum",0.214966867544572,0.0147204353100689,26498.7466940074,33388.0138834794,2153960.40913121,2213847.399396
62,2025,"REF","Copper",14987.4006799219,0,16189.5059030042,41252.5911810013,42351.4811532852,114780.978917213
62,2025,"IRA","Copper",14224.7005354246,0,16209.2172605311,41252.8381044916,59874.1793969811,131560.935297428
62,2030,"REF","Copper",19.599456660595,8.46651858145134,36086.1872619994,22296.8314620327,89063.3067182248,147474.391417499
62,2030,"IRA","Copper",4.6975179683609,0.166360311707924,100428.729741882,85541.8712778471,114881.746988788,300857.211886798
62,2035,"REF","Copper",2.06973686765885,1.40092590154319,97558.6824832161,10624.6756170433,56824.4173096832,165011.246072712
62,2035,"IRA","Copper",0.486347044217361,0.75773051034686,97531.3088005826,36882.2561262535,210183.045747642,344597.854752033
20,2025,"REF","Manganese",4506.28121029207,0,0,21485.7129431264,0,25991.9941534184
20,2025,"IRA","Manganese",4276.95916815571,0,0,21485.8415490413,0,25762.800717197
20,2030,"REF","Manganese",5.89299406666913,1.89700890227397,0,11612.9267670132,0,11620.7167699821
20,2030,"IRA","Manganese",1.41240882311184,0.0372747061568376,0,44553.033840457,0,44554.4835239863
20,2035,"REF","Manganese",0.622310469718384,0.313891581420006,0,5533.68222180328,0,5534.61842385441
20,2035,"IRA","Manganese",0.146230596875535,0.169777165174093,0,19209.4980009038,0,19209.8140086659
87,2025,"REF","Cement",295685.765364421,0,248.192525712636,1519422.87555237,164949.382243719,1980306.21568622
87,2025,"IRA","Cement",280638.487935494,0,248.494709833582,1519431.97028288,233196.304708591,2033515.2576368
87,2030,"REF","Cement",386.676813890653,177.886664741529,553.2177457147,821240.916166999,346881.313798265,1169240.01118961
87,2030,"IRA","Cement",92.6771243027276,3.49533054352676,1539.6183328933,3150693.62471893,447438.263806977,3599767.67931364
87,2035,"REF","Cement",40.8337471511339,29.4342986173213,1495.61919651998,391329.967783788,221318.175335278,614214.030361355
87,2035,"IRA","Cement",9.5951193321191,15.920375294965,1495.1995454527,1358453.90691531,818615.137182456,2178589.75913784
22,2025,"REF","Manganese",3672.21418265242,0,0,21459.8214434692,0,25132.0356261216
22,2025,"IRA","Manganese",3485.33732871694,0,0,21459.9498944067,0,24945.2872231236
22,2030,"REF","Manganese",4.80226052925498,2.2669739321464,0,11598.9325332541,0,11606.0017677155
22,2030,"IRA","Manganese",1.15098625005663,0.0445442227944612,0,44499.3449140778,0,44500.5404445507
22,2035,"REF","Manganese",0.507127102430614,0.375108430828331,0,5527.01382165625,0,5527.89605718951
22,2035,"IRA","Manganese",0.119164793923117,0.202888034559048,0,19186.3494690295,0,19186.671521858
60,2025,"REF","Cement",349311.810523886,0,221.801579514749,1427920.22002052,198295.491384004,1975749.32350792
60,2025,"IRA","Cement",331535.534700546,0,222.071631625051,1427928.76704834,280339.187707899,2040025.56108841
60,2030,"REF","Cement",456.805141706035,220.958115945148,494.392687542814,771784.161322911,417006.718278722,1189963.03554683
60,2030,"IRA","Cement",109.485196368633,4.34165007604923,1375.90677682609,2960952.61313632,537892.225958843,3500334.57271843
60,2035,"REF","Cement",48.2394210971155,36.561184482829,1336.58618118419,367763.301901919,266059.779875237,635244.46856392
60,2035,"IRA","Cement",11.3353055801129,19.7751536655457,1336.21115268847,1276645.12155318,984106.085599846,2262118.52876496
69,2025,"REF","Aluminum",6250.46398339453,0,0,23402.5294298328,807973.728504987,837626.721918214
69,2025,"IRA","Aluminum",5932.38148963047,0,0,23402.6695091365,1142268.52641735,1171603.57741612
69,2030,"REF","Aluminum",8.1739122458551,0.201102691305833,0,12648.9570604853,1699133.30165846,1711790.63373388
69,2030,"IRA","Aluminum",1.95909000497486,0.00395150687842768,0,48527.7676565623,2191692.73243936,2240222.46313744
69,2035,"REF","Aluminum",0.863179414675716,0.0332757752091406,0,6027.36159576792,1084085.72908356,1090113.98713452
69,2035,"IRA","Aluminum",0.202830013571562,0.0179981468710335,0,20923.2452973958,4009833.29311691,4030756.75924247
43,2025,"REF","Aluminum",6352.08657764605,0,651.0637520762,6995.7965890377,439792.365835727,453791.312754487
43,2025,"IRA","Aluminum",6028.83256888915,0,651.856447694391,6995.83846341362,621754.09908724,635430.626567237
