"technology","row_id","Material_Technology","Intensity_Distribution_Value","year","scenario","capacity_new","material_demand"
"Coal",47,"Steel.Coal",50193.4861970187,2025,"Ref",-18.0254523154354,0
"Coal",47,"Steel.Coal",50193.4861970187,2030,"IRA",-5.82711506074089,0
"Coal",47,"Steel.Coal",50193.4861970187,2030,"Ref",-1.40684744154277,0
"Coal",47,"Steel.Coal",50193.4861970187,2035,"IRA",-3.06863443089608,0
"Coal",47,"Steel.Coal",50193.4861970187,2035,"Ref",-2.79738425183609,0
"Coal",76,"Steel.Coal",49062.6314183853,2025,"IRA",-21.7548620776517,0
"Coal",76,"Steel.Coal",49062.6314183853,2025,"Ref",-18.0254523154354,0
"Coal",76,"Steel.Coal",49062.6314183853,2030,"IRA",-5.82711506074089,0
"Coal",76,"Steel.Coal",49062.6314183853,2030,"Ref",-1.40684744154277,0
"Coal",76,"Steel.Coal",49062.6314183853,2035,"IRA",-3.06863443089608,0
"Coal",76,"Steel.Coal",49062.6314183853,2035,"Ref",-2.79738425183609,0
"Coal",83,"Copper.Coal",515.963490705786,2025,"IRA",-21.7548620776517,0
"Coal",83,"Copper.Coal",515.963490705786,2025,"Ref",-18.0254523154354,0
"Coal",83,"Copper.Coal",515.963490705786,2030,"IRA",-5.82711506074089,0
"Coal",83,"Copper.Coal",515.963490705786,2030,"Ref",-1.40684744154277,0
"Coal",83,"Copper.Coal",515.963490705786,2035,"IRA",-3.06863443089608,0
"Coal",83,"Copper.Coal",515.963490705786,2035,"Ref",-2.79738425183609,0
"Coal",77,"Cement.Coal",17052.4461366097,2025,"IRA",-21.7548620776517,0
"Coal",77,"Cement.Coal",17052.4461366097,2025,"Ref",-18.0254523154354,0
"Coal",77,"Cement.Coal",17052.4461366097,2030,"IRA",-5.82711506074089,0
"Coal",77,"Cement.Coal",17052.4461366097,2030,"Ref",-1.40684744154277,0
"Coal",77,"Cement.Coal",17052.4461366097,2035,"IRA",-3.06863443089608,0
"Coal",77,"Cement.Coal",17052.4461366097,2035,"Ref",-2.79738425183609,0
"Coal",44,"Steel.Coal",58873.6008960904,2025,"IRA",-21.7548620776517,0
"Coal",44,"Steel.Coal",58873.6008960904,2025,"Ref",-18.0254523154354,0
"Coal",44,"Steel.Coal",58873.6008960904,2030,"IRA",-5.82711506074089,0
"Coal",44,"Steel.Coal",58873.6008960904,2030,"Ref",-1.40684744154277,0
"Coal",44,"Steel.Coal",58873.6008960904,2035,"IRA",-3.06863443089608,0
"Coal",44,"Steel.Coal",58873.6008960904,2035,"Ref",-2.79738425183609,0
"Coal",38,"Aluminum.Coal",487.366186431221,2025,"IRA",-21.7548620776517,0
"Coal",38,"Aluminum.Coal",487.366186431221,2025,"Ref",-18.0254523154354,0
"Coal",38,"Aluminum.Coal",487.366186431221,2030,"IRA",-5.82711506074089,0
"Coal",38,"Aluminum.Coal",487.366186431221,2030,"Ref",-1.40684744154277,0
"Coal",38,"Aluminum.Coal",487.366186431221,2035,"IRA",-3.06863443089608,0
"Coal",38,"Aluminum.Coal",487.366186431221,2035,"Ref",-2.79738425183609,0
"Coal",8,"Cement.Coal",20048.8682540026,2025,"IRA",-21.7548620776517,0
"Coal",8,"Cement.Coal",20048.8682540026,2025,"Ref",-18.0254523154354,0
"Coal",8,"Cement.Coal",20048.8682540026,2030,"IRA",-5.82711506074089,0
"Coal",8,"Cement.Coal",20048.8682540026,2030,"Ref",-1.40684744154277,0
"Coal",8,"Cement.Coal",20048.8682540026,2035,"IRA",-3.06863443089608,0
"Coal",8,"Cement.Coal",20048.8682540026,2035,"Ref",-2.79738425183609,0
"Coal",39,"Cement.Coal",14579.48077418,2025,"IRA",-21.7548620776517,0
"Coal",39,"Cement.Coal",14579.48077418,2025,"Ref",-18.0254523154354,0
"Coal",39,"Cement.Coal",14579.48077418,2030,"IRA",-5.82711506074089,0
"Coal",39,"Cement.Coal",14579.48077418,2030,"Ref",-1.40684744154277,0
"Coal",39,"Cement.Coal",14579.48077418,2035,"IRA",-3.06863443089608,0
"Coal",39,"Cement.Coal",14579.48077418,2035,"Ref",-2.79738425183609,0
"Coal",77,"Steel.Coal",52168.8860722454,2025,"IRA",-21.7548620776517,0
"Coal",77,"Steel.Coal",52168.8860722454,2025,"Ref",-18.0254523154354,0
"Coal",77,"Steel.Coal",52168.8860722454,2030,"IRA",-5.82711506074089,0
"Coal",77,"Steel.Coal",52168.8860722454,2030,"Ref",-1.40684744154277,0
"Coal",77,"Steel.Coal",52168.8860722454,2035,"IRA",-3.06863443089608,0
"Coal",77,"Steel.Coal",52168.8860722454,2035,"Ref",-2.79738425183609,0
"Coal",76,"Cement.Coal",15813.9047874853,2025,"IRA",-21.7548620776517,0
"Coal",76,"Cement.Coal",15813.9047874853,2025,"Ref",-18.0254523154354,0
"Coal",76,"Cement.Coal",15813.9047874853,2030,"IRA",-5.82711506074089,0
"Coal",76,"Cement.Coal",15813.9047874853,2030,"Ref",-1.40684744154277,0
"Coal",76,"Cement.Coal",15813.9047874853,2035,"IRA",-3.06863443089608,0
"Coal",76,"Cement.Coal",15813.9047874853,2035,"Ref",-2.79738425183609,0
"Coal",39,"Steel.Coal",54136.4642826695,2025,"IRA",-21.7548620776517,0
"Coal",39,"Steel.Coal",54136.4642826695,2025,"Ref",-18.0254523154354,0
"Coal",39,"Steel.Coal",54136.4642826695,2030,"IRA",-5.82711506074089,0
"Coal",39,"Steel.Coal",54136.4642826695,2030,"Ref",-1.40684744154277,0
"Coal",39,"Steel.Coal",54136.4642826695,2035,"IRA",-3.06863443089608,0
"Coal",39,"Steel.Coal",54136.4642826695,2035,"Ref",-2.79738425183609,0
"Coal",80,"Cement.Coal",19155.4974456842,2025,"IRA",-21.7548620776517,0
"Coal",80,"Cement.Coal",19155.4974456842,2025,"Ref",-18.0254523154354,0
"Coal",80,"Cement.Coal",19155.4974456842,2030,"IRA",-5.82711506074089,0
"Coal",80,"Cement.Coal",19155.4974456842,2030,"Ref",-1.40684744154277,0
"Coal",80,"Cement.Coal",19155.4974456842,2035,"IRA",-3.06863443089608,0
"Coal",80,"Cement.Coal",19155.4974456842,2035,"Ref",-2.79738425183609,0
"Coal",5,"Cement.Coal",13285.2739858582,2025,"IRA",-21.7548620776517,0
"Coal",5,"Cement.Coal",13285.2739858582,2025,"Ref",-18.0254523154354,0
"Coal",5,"Cement.Coal",13285.2739858582,2030,"IRA",-5.82711506074089,0
"Coal",5,"Cement.Coal",13285.2739858582,2030,"Ref",-1.40684744154277,0
"Coal",5,"Cement.Coal",13285.2739858582,2035,"IRA",-3.06863443089608,0
"Coal",5,"Cement.Coal",13285.2739858582,2035,"Ref",-2.79738425183609,0
"Coal",77,"Copper.Coal",491.672829458088,2025,"IRA",-21.7548620776517,0
"Coal",77,"Copper.Coal",491.672829458088,2025,"Ref",-18.0254523154354,0
"Coal",77,"Copper.Coal",491.672829458088,2030,"IRA",-5.82711506074089,0
"Coal",77,"Copper.Coal",491.672829458088,2030,"Ref",-1.40684744154277,0
"Coal",77,"Copper.Coal",491.672829458088,2035,"IRA",-3.06863443089608,0
"Coal",77,"Copper.Coal",491.672829458088,2035,"Ref",-2.79738425183609,0
"Coal",81,"Copper.Coal",490.950100585255,2025,"IRA",-21.7548620776517,0
"Coal",81,"Copper.Coal",490.950100585255,2025,"Ref",-18.0254523154354,0
"Coal",81,"Copper.Coal",490.950100585255,2030,"IRA",-5.82711506074089,0
"Coal",81,"Copper.Coal",490.950100585255,2030,"Ref",-1.40684744154277,0
"Coal",81,"Copper.Coal",490.950100585255,2035,"IRA",-3.06863443089608,0
"Coal",81,"Copper.Coal",490.950100585255,2035,"Ref",-2.79738425183609,0
"Coal",99,"Steel.Coal",56402.121863547,2025,"IRA",-21.7548620776517,0
"Coal",99,"Steel.Coal",56402.121863547,2025,"Ref",-18.0254523154354,0
"Coal",99,"Steel.Coal",56402.121863547,2030,"IRA",-5.82711506074089,0
"Coal",99,"Steel.Coal",56402.121863547,2030,"Ref",-1.40684744154277,0
"Coal",99,"Steel.Coal",56402.121863547,2035,"IRA",-3.06863443089608,0
"Coal",99,"Steel.Coal",56402.121863547,2035,"Ref",-2.79738425183609,0
"Coal",51,"Steel.Coal",54371.7401670286,2025,"IRA",-21.7548620776517,0
"Coal",51,"Steel.Coal",54371.7401670286,2025,"Ref",-18.0254523154354,0
"Coal",51,"Steel.Coal",54371.7401670286,2030,"IRA",-5.82711506074089,0
"Coal",51,"Steel.Coal",54371.7401670286,2030,"Ref",-1.40684744154277,0
"Coal",51,"Steel.Coal",54371.7401670286,2035,"IRA",-3.06863443089608,0
"Coal",51,"Steel.Coal",54371.7401670286,2035,"Ref",-2.79738425183609,0
"Coal",86,"Steel.Coal",52678.4146360422,2025,"IRA",-21.7548620776517,0
"Coal",86,"Steel.Coal",52678.4146360422,2025,"Ref",-18.0254523154354,0
"Coal",86,"Steel.Coal",52678.4146360422,2030,"IRA",-5.82711506074089,0
"Coal",86,"Steel.Coal",52678.4146360422,2030,"Ref",-1.40684744154277,0
"Coal",86,"Steel.Coal",52678.4146360422,2035,"IRA",-3.06863443089608,0
"Coal",86,"Steel.Coal",52678.4146360422,2035,"Ref",-2.79738425183609,0
"Coal",69,"Steel.Coal",56004.1956423796,2025,"IRA",-21.7548620776517,0
"Coal",69,"Steel.Coal",56004.1956423796,2025,"Ref",-18.0254523154354,0
"Coal",69,"Steel.Coal",56004.1956423796,2030,"IRA",-5.82711506074089,0
"Coal",69,"Steel.Coal",56004.1956423796,2030,"Ref",-1.40684744154277,0
"Coal",69,"Steel.Coal",56004.1956423796,2035,"IRA",-3.06863443089608,0
"Coal",69,"Steel.Coal",56004.1956423796,2035,"Ref",-2.79738425183609,0
"Coal",6,"Cement.Coal",19634.4999812913,2025,"IRA",-21.7548620776517,0
"Coal",6,"Cement.Coal",19634.4999812913,2025,"Ref",-18.0254523154354,0
"Coal",6,"Cement.Coal",19634.4999812913,2030,"IRA",-5.82711506074089,0
"Coal",6,"Cement.Coal",19634.4999812913,2030,"Ref",-1.40684744154277,0
"Coal",6,"Cement.Coal",19634.4999812913,2035,"IRA",-3.06863443089608,0
"Coal",6,"Cement.Coal",19634.4999812913,2035,"Ref",-2.79738425183609,0
"Coal",80,"Copper.Coal",472.982331155719,2025,"IRA",-21.7548620776517,0
"Coal",80,"Copper.Coal",472.982331155719,2025,"Ref",-18.0254523154354,0
"Coal",80,"Copper.Coal",472.982331155719,2030,"IRA",-5.82711506074089,0
