"technology","row_id","Material_Technology","Intensity_Distribution_Value","year","scenario","capacity_new","material_demand"
"Gas",13,"Cement.Gas",11307.6478357854,2030,"REF",13.67963388,154684.482437518
"Gas",13,"Cement.Gas",11307.6478357854,2030,"IRA",13.61963023,154005.982294457
"Gas",13,"Cement.Gas",11307.6478357854,2035,"REF",1086.9976736,12291386.8913868
"Gas",13,"Cement.Gas",11307.6478357854,2035,"IRA",944.01327401,10674569.6548119
"Gas",13,"Cement.Gas",11307.6478357854,2025,"IRA",31.924156255,360987.116386125
"Gas",13,"Cement.Gas",11307.6478357854,2025,"REF",30.297344295,342591.699647401
"Gas",28,"Cement.Gas",11541.6413057985,2030,"REF",13.67963388,157885.427437609
"Gas",28,"Cement.Gas",11541.6413057985,2030,"IRA",13.61963023,157192.886832271
"Gas",28,"Cement.Gas",11541.6413057985,2035,"REF",1086.9976736,12545737.2489287
"Gas",28,"Cement.Gas",11541.6413057985,2035,"IRA",944.01327401,10895462.5965359
"Gas",28,"Cement.Gas",11541.6413057985,2025,"IRA",31.924156255,368457.160485475
"Gas",28,"Cement.Gas",11541.6413057985,2025,"REF",30.297344295,349681.080371172
"Gas",14,"Aluminum.Gas",212.480303558113,2030,"REF",13.67963388,2906.65275938625
"Gas",14,"Aluminum.Gas",212.480303558113,2030,"IRA",13.61963023,2893.90316561966
"Gas",14,"Aluminum.Gas",212.480303558113,2035,"REF",1086.9976736,230965.595653491
"Gas",14,"Aluminum.Gas",212.480303558113,2035,"IRA",944.01327401,200584.227024533
"Gas",14,"Aluminum.Gas",212.480303558113,2025,"IRA",31.924156255,6783.25441189905
"Gas",14,"Aluminum.Gas",212.480303558113,2025,"REF",30.297344295,6437.58891280628
"Gas",22,"Cement.Gas",11225.0103718081,2030,"REF",13.67963388,153554.032185537
"Gas",22,"Cement.Gas",11225.0103718081,2030,"IRA",13.61963023,152880.490591941
"Gas",22,"Cement.Gas",11225.0103718081,2035,"REF",1086.9976736,12201560.1602912
"Gas",22,"Cement.Gas",11225.0103718081,2035,"IRA",944.01327401,10596558.7918867
"Gas",22,"Cement.Gas",11225.0103718081,2025,"IRA",31.924156255,358348.985073597
"Gas",22,"Cement.Gas",11225.0103718081,2025,"REF",30.297344295,340088.003949615
"Gas",13,"Aluminum.Gas",222.551518403809,2030,"REF",13.67963388,3044.42329120218
"Gas",13,"Aluminum.Gas",222.551518403809,2030,"IRA",13.61963023,3031.06938778491
"Gas",13,"Aluminum.Gas",222.551518403809,2035,"REF",1086.9976736,241912.982761088
"Gas",13,"Aluminum.Gas",222.551518403809,2035,"IRA",944.01327401,210091.587524276
"Gas",13,"Aluminum.Gas",222.551518403809,2025,"IRA",31.924156255,7104.7694483107
"Gas",13,"Aluminum.Gas",222.551518403809,2025,"REF",30.297344295,6742.71997645522
"Gas",9,"Aluminum.Gas",221.501351491485,2030,"REF",13.67963388,3030.0573923287
"Gas",9,"Aluminum.Gas",221.501351491485,2030,"IRA",13.61963023,3016.76650275928
"Gas",9,"Aluminum.Gas",221.501351491485,2035,"REF",1086.9976736,240771.4537705
"Gas",9,"Aluminum.Gas",221.501351491485,2035,"IRA",944.01327401,209100.216019116
"Gas",9,"Aluminum.Gas",221.501351491485,2025,"IRA",31.924156255,7071.24375570784
"Gas",9,"Aluminum.Gas",221.501351491485,2025,"REF",30.297344295,6710.90270794532
"Gas",29,"Cement.Gas",11480.0246565631,2030,"REF",13.67963388,157042.534235156
"Gas",29,"Cement.Gas",11480.0246565631,2030,"IRA",13.61963023,156353.690853672
"Gas",29,"Cement.Gas",11480.0246565631,2035,"REF",1086.9976736,12478760.0945547
"Gas",29,"Cement.Gas",11480.0246565631,2035,"IRA",944.01327401,10837295.6617576
"Gas",29,"Cement.Gas",11480.0246565631,2025,"IRA",31.924156255,366490.100947372
"Gas",29,"Cement.Gas",11480.0246565631,2025,"REF",30.297344295,347814.259534981
"Gas",27,"Cement.Gas",13142.5879132404,2030,"REF",13.67963388,179785.790888842
"Gas",27,"Cement.Gas",13142.5879132404,2030,"IRA",13.61963023,178997.187643602
"Gas",27,"Cement.Gas",13142.5879132404,2035,"REF",1086.9976736,14285962.4867758
"Gas",27,"Cement.Gas",13142.5879132404,2035,"IRA",944.01327401,12406777.4449423
"Gas",27,"Cement.Gas",13142.5879132404,2025,"IRA",31.924156255,419566.030137361
"Gas",27,"Cement.Gas",13142.5879132404,2025,"REF",30.297344295,398185.51093475
"Gas",8,"Aluminum.Gas",219.11214150883,2030,"REF",13.67963388,2997.37387450354
"Gas",8,"Aluminum.Gas",219.11214150883,2030,"IRA",13.61963023,2984.22634625369
"Gas",8,"Aluminum.Gas",219.11214150883,2035,"REF",1086.9976736,238174.388077612
"Gas",8,"Aluminum.Gas",219.11214150883,2035,"IRA",944.01327401,206844.770081093
"Gas",8,"Aluminum.Gas",219.11214150883,2025,"IRA",31.924156255,6994.97024289555
"Gas",8,"Aluminum.Gas",219.11214150883,2025,"REF",30.297344295,6638.51599050777
"Gas",6,"Aluminum.Gas",217.17446366962,2030,"REF",13.67963388,2970.86715108577
"Gas",6,"Aluminum.Gas",217.17446366962,2030,"IRA",13.61963023,2957.8358905788
"Gas",6,"Aluminum.Gas",217.17446366962,2035,"REF",1086.9976736,236068.136774205
"Gas",6,"Aluminum.Gas",217.17446366962,2035,"IRA",944.01327401,205015.576480124
"Gas",6,"Aluminum.Gas",217.17446366962,2025,"IRA",31.924156255,6933.11151278478
"Gas",6,"Aluminum.Gas",217.17446366962,2025,"REF",30.297344295,6579.80949788045
"Gas",4,"Aluminum.Gas",212.863299089948,2030,"REF",13.67963388,2911.89199803942
"Gas",4,"Aluminum.Gas",212.863299089948,2030,"IRA",13.61963023,2899.11942314298
"Gas",4,"Aluminum.Gas",212.863299089948,2035,"REF",1086.9976736,231381.910905594
"Gas",4,"Aluminum.Gas",212.863299089948,2035,"IRA",944.01327401,200945.779890471
